"date","type_customer","n_trips"
2021-05-30,"casual",17396
2021-05-30,"member",9088
2021-05-30,"all",26484
2021-05-31,"casual",12800
2021-05-31,"member",8445
2021-05-31,"all",21245
2021-06-01,"casual",8344
2021-06-01,"member",10827
2021-06-01,"all",19171
2021-06-02,"casual",8089
2021-06-02,"member",11854
2021-06-02,"all",19943
2021-06-03,"casual",10589
2021-06-03,"member",12590
2021-06-03,"all",23179
2021-06-04,"casual",12874
2021-06-04,"member",12537
2021-06-04,"all",25411
2021-06-05,"casual",22679
2021-06-05,"member",13303
2021-06-05,"all",35982
2021-06-06,"casual",17426
2021-06-06,"member",11103
2021-06-06,"all",28529
2021-06-07,"casual",7521
2021-06-07,"member",9883
2021-06-07,"all",17404
2021-06-08,"casual",9579
2021-06-08,"member",12709
2021-06-08,"all",22288
2021-06-09,"casual",10832
2021-06-09,"member",13618
2021-06-09,"all",24450
2021-06-10,"casual",11818
2021-06-10,"member",13382
2021-06-10,"all",25200
2021-06-11,"casual",15836
2021-06-11,"member",13512
2021-06-11,"all",29348
2021-06-12,"casual",21390
2021-06-12,"member",12538
2021-06-12,"all",33928
2021-06-13,"casual",21466
2021-06-13,"member",12683
2021-06-13,"all",34149
2021-06-14,"casual",10927
2021-06-14,"member",12048
2021-06-14,"all",22975
2021-06-15,"casual",10705
2021-06-15,"member",13084
2021-06-15,"all",23789
2021-06-16,"casual",11349
2021-06-16,"member",13850
2021-06-16,"all",25199
2021-06-17,"casual",12369
2021-06-17,"member",13508
2021-06-17,"all",25877
2021-06-18,"casual",15023
2021-06-18,"member",12598
2021-06-18,"all",27621
2021-06-19,"casual",22393
2021-06-19,"member",13303
2021-06-19,"all",35696
2021-06-20,"casual",12322
2021-06-20,"member",8479
2021-06-20,"all",20801
2021-06-21,"casual",9428
2021-06-21,"member",11764
2021-06-21,"all",21192
2021-06-22,"casual",11436
2021-06-22,"member",13675
2021-06-22,"all",25111
2021-06-23,"casual",10301
2021-06-23,"member",13199
2021-06-23,"all",23500
2021-06-24,"casual",5975
2021-06-24,"member",9071
2021-06-24,"all",15046
2021-06-25,"casual",8161
2021-06-25,"member",8367
2021-06-25,"all",16528
2021-06-26,"casual",7951
2021-06-26,"member",6460
2021-06-26,"all",14411
2021-06-27,"casual",16501
2021-06-27,"member",11645
2021-06-27,"all",28146
2021-06-28,"casual",6617
2021-06-28,"member",9439
2021-06-28,"all",16056
2021-06-29,"casual",7200
2021-06-29,"member",10252
2021-06-29,"all",17452
2021-06-30,"casual",7280
2021-06-30,"member",11267
2021-06-30,"all",18547
2021-07-01,"casual",11186
2021-07-01,"member",13138
2021-07-01,"all",24324
2021-07-02,"casual",13577
2021-07-02,"member",12714
2021-07-02,"all",26291
2021-07-03,"casual",21281
2021-07-03,"member",11166
2021-07-03,"all",32447
2021-07-04,"casual",22885
2021-07-04,"member",9807
2021-07-04,"all",32692
2021-07-05,"casual",16615
2021-07-05,"member",10099
2021-07-05,"all",26714
2021-07-06,"casual",11349
2021-07-06,"member",11880
2021-07-06,"all",23229
2021-07-07,"casual",10492
2021-07-07,"member",12155
2021-07-07,"all",22647
2021-07-08,"casual",10377
2021-07-08,"member",12207
2021-07-08,"all",22584
2021-07-09,"casual",15829
2021-07-09,"member",13251
2021-07-09,"all",29080
2021-07-10,"casual",15021
2021-07-10,"member",9617
2021-07-10,"all",24638
2021-07-11,"casual",7109
2021-07-11,"member",5904
2021-07-11,"all",13013
2021-07-12,"casual",8722
2021-07-12,"member",11028
2021-07-12,"all",19750
2021-07-13,"casual",9991
2021-07-13,"member",12562
2021-07-13,"all",22553
2021-07-14,"casual",11599
2021-07-14,"member",13518
2021-07-14,"all",25117
2021-07-15,"casual",9336
